class_id,car_length,car_width,car_height,wheelbase,brand
10044,3998,1720,1503,2500,EV系列
10049,4861,1820,1462,2755,北汽新能源ES210
10050,4946,1860,1483,2830,绅宝D80
10051,4110,1750,1545,2519,绅宝X25
10056,4495,1636,1912,2920,北汽威旺307
10057,4440,1700,1783,2790,北汽威旺M20
10065,4012,1656,1910,2650,北汽威骏V6
10067,4490,1825,1950,2600,北汽勇士
10067,4490,1825,1980,2600,北汽勇士
10068,3900,1750,1990,2300,北汽BJ
10070,4570,1775,1445,2700,北京现代朗动
10072,4710,1820,1470,2770,北京现代名图
10082,4270,1780,1622,2590,北京现代ix25
10083,4420,1820,1660,2640,北京现代ix35
10087,4510,1765,1470,2650,北京现代全新悦动
10093,4200,1680,1875,2700,北汽福田风景V5
10102,4380,1730,1720,2685,北汽幻速H2
class_id,length,width,height,wheelbase
10104,3400,1575,1670,2335,昌河铃木北斗星
10104,3400,1575,1685,2335,昌河铃木北斗星
10105,3664,1610,1709,2485,昌河牌CH7005BEVC3CA型纯电动轿车
10111,4095,1750,1545,2519,昌河Q25
10120,4560,1822,1630,2830,比亚迪e6
10129,4860,1825,1463,2745,比亚迪G6
10130,4568,1716,1480,2615,比亚迪L3
10137,4565,1870,1700,2660,比亚迪宋DM
10147,4010,1620,1915,2700,太行成功V1
10159,4270,1772,1605,2610,本田XR-V
10160,4495,1705,1477,2600,本田哥瑞
10162,4730,1840,1450,2705,东风本田思伯睿
10162,4730,1850,1440,2705,东风本田思伯睿
10165,5150,1920,1925,3200,东风风行CM7
10166,4600,1810,1720,2750,风行S500
10170,4320,1804,1620,2685,东风风行景逸XL
10173,4645,1695,1940,2800,东风风行菱智
10190,4480,1695,1535,2600,东风日产启辰D50
10192,4280,1695,1535,2600,东风日产启辰R50
10194,4542,1786,1642,2630,东风日产启辰T70
10196,4683,1780,1465,2700,东风日产LANNIA
10197,4178,1690,1565,2600,东风日产骊威
10205,4426,1696,1516,2600,东风日产阳光
10214,3640,1560,1925,2360,东风小康V07S
10220,4565,1725,1790,2725,东风风光
10221,4840,1823,1456,2898,英菲尼迪Q50L
10225,4800,1930,1730,2910,纳智捷大7
10233,4600,1780,1445,2700,东风悦达起亚K3
10234,4365,1780,1460,2700,东风悦达起亚K3
10236,4845,1830,1460,2795,东风悦达起亚K5
10250,4428,1840,1639,2613,东风标志3008
10251,4442,1748,1476,2652,东风标志301
10256,4826,1855,1465,2815,东风标志508
class_id,car_length,car_width,car_height,wheelbase
10258,4588,1800,1496,2610,东风雪铁龙C4
10259,4136,1708,1413,2540,东风雪铁龙爱丽舍
10266,4262,1748,1557,2655,东风雪铁龙C3—XR
10267,4620,1780,1498,2710,雪铁龙C4L
10271,4420,1695,1800,2695,东风牌ZN6441V1YBEV 
10297,4570,1760,1490,2635,东南汽车风迪思
10299,4993,1901,1937,3200,福建奔驰唯雅诺
10309,4765,1800,1582,2830,广汽本田奥德赛
10311,3845,1675,1535,2450,广汽本田飞度
10314,4650,1750,1505,2650,凌派2013款
10323,4630,1775,1480,2700,一汽丰田卡罗拉
10326,4115,1700,1485,2550,广汽丰田YARiS L 致炫
10341,4295,1770,1625,2670,广汽三菱劲炫ASX 
10343,4695,1815,1825,2800,广汽三菱帕杰罗·劲畅
10343,4695,1815,1840,2800,三菱-帕杰罗·劲畅
10345,4250,1730,1700,2550,猎豹 飞腾C5
10356,4850,1830,1485,2720,广汽乘用车 传祺GA6
10357,4510,1852,1677,2650,传祺GS4
10375,4845,1830,1475,2800,海马汽车 海马M8
10376,4358,1823,1610,2630,海马S5
10383,3890,1695,1480,2500,海马汽车 丘比特
10412,4005,1725,1600,2500,智尚S30
10429,3900,1510,1823,2430,华晨金杯 金杯海星 SY6390
10431,4200,1680,1930,2700,金杯牌SY6420C4SBW
10431,4200,1695,1930,2700,金杯牌SY6420C4SBW
10453,4644,1891,1713,2774,沃尔沃亚太 沃尔沃XC60 
10457,4425,1789,1470,2650,吉利帝豪
10459,4682,1725,1485,2602,吉利海景
10467,4547,1734,1470,2600,吉利GC7
10470,4553,1833,1673,2661,吉利GX7
10472,4015,1692,1465,2502,吉利金刚
10485,4152,1680,1440,2434,吉利自由舰
