brand	car_length	car_width	car_height	轴距	前轮距	后轮距
3 Wheeler	3225	1720	1000	-	-	-
3 Wheeler	3225	1720	1000	-	-	-
812 Superfast	4657	1971	1276	2720	1672	1645
AC Schnitzer X5	4909	1938	1772	2933	-	-
ALFA 156	4720	1815	1416	2700	1511	1498
ALFA GT	4480	1760	1390	2596	1530	1508
ALPINA B4	4640	1825	1373	2812	1578	1578
AMG GT	4546	1939	1287	2630	1680	1651
AMG GT	4546	1939	1288	2630	1680	1651
AMG GT	4546	1939	1288	2630	1680	1651
AMG GT	4546	1939	1288	2630	1680	1651
AMG GT	4546	1939	1288	2630	1680	1651
AMG GT	4546	1939	1288	2630	1680	1651
Aventador	4797	2030	1136	2700	1720	1680
Aventador	4780	2030	1136	2700	-	-
Aventador	4780	2030	1136	2700	1720	1700
Aventador	4835	2030	1136	2700	-	-
BJ 212	4080	1840	1870	2300	1510	1500
BJ 212	4080	1840	1870	2300	1510	1500
Boxster	4374	1801	1282	2475	-	-
C-MAX	4410	1828	1620	2647	-	-
C4 PICASSO	4428	1826	1629	2785	1587	1590
C4 PICASSO	4428	1826	1629	2785	1587	1590
C4 PICASSO	4597	1826	1652	2840	1587	1590
C4 PICASSO	4602	1826	1652	2840	1590	1590
C4 PICASSO	4597	1826	1652	2840	1587	1590
C4世嘉	4588	1800	1496	2610	-	-
C4世嘉	4588	1800	1496	2610	-	-
C4世嘉	4588	1800	1496	2610	-	-
C4世嘉	4588	1800	1496	2610	-	-
C4世嘉	4588	1800	1496	2610	-	-
C4世嘉	4588	1800	1496	2610	-	-
California T	4570	1910	1322	2670	1630	1605
Cayenne	4918	1983	1696	2895	-	-
Cayenne	4918	1983	1696	2895	-	-
Cayenne	4926	1983	1673	2895	-	-
Cayenne	4855	1939	1699	2895	-	-
Cayenne	4855	1939	1699	2895	-	-
Cayenne	4855	1939	1699	2895	-	-
Cayenne	4855	1939	1699	2895	-	-
Cayenne	4855	1939	1702	2895	-	-
Cayenne	4855	1939	1702	2895	-	-
Cayenne新能源	4855	1939	1699	2895	-	-
CIMA	5085	1845	1495	2870	1580	1560
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 4S	4435	1843	1510	2715	-	-
DS 5	4530	1871	1520	2727	-	-
DS 5	4530	1871	1520	2727	-	-
DS 5	4530	1871	1520	2727	-	-
DS 5	4530	1871	1520	2727	-	-
DS 5	4530	1871	1520	2727	-	-
DS 5	4530	1871	1520	2727	-	-
DS 5	4530	1871	1520	2727	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 5LS	4702	1840	1510	2715	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
DS 6	4553	1858	1610	2732	-	-
EC系列	3675	1630	1518	2360	-	-
EC系列	3675	1630	1518	2360	-	-
EC系列	3675	1630	1518	2360	-	-
EC系列	3675	1630	1518	2360	-	-
Elise	3824	1719	1117	2300	1457	1506
Espace	4878	1888	1675	2884	1630	1621
Espace	4878	1888	1675	2884	1624	1615
Espace	4878	1888	1675	2884	1624	1615
EU系列	4582	1794	1515	2650	1522	1528
EU系列	4582	1794	1515	2650	1522	1528
EU系列	4582	1794	1515	2650	1522	1528
Evora	4361	2047	1229	2575	1564	1557
EV系列	3998	1720	1503	2500	1460	1445
EV系列	4025	1720	1503	2500	1460	1445
EV系列	4025	1720	1503	2500	-	-
Exige	4084	1802	1129	2370	-	-
EX系列	4110	1750	1583	2519	-	-
EX系列	4110	1750	1583	2519	-	-
E美	4635	1790	1490	2620	1520	1530
E美	4635	1790	1490	2620	1520	1530
E美	4635	1790	1490	2620	1520	1530
F12berlinetta	4618	1942	1273	2720	1665	1618
Ghibli	4971	1945	1461	2998	1635	1653
Giulia	4643	1860	1436	2820	1557	1625
Giulia	4643	1860	1436	2820	1557	1625
Giulia	4643	1860	1436	2820	1557	1625
Giulia	4643	1860	1436	2820	1557	1625
Giulia	4643	1860	1436	2820	1557	1625
Giulia	4639	1873	1426	2820	1555	1607
GranCabrio	4881	1915	1380	2942	1586	1590
GranCabrio	4881	1915	1380	2942	1586	1590
GranCabrio	4933	1915	1343	2942	1586	1590
GranCabrio	4933	1915	1343	2942	1586	1590
GranTurismo	4881	1847	1353	2942	1586	1590
GranTurismo	4881	1847	1353	2942	1586	1590
GranTurismo	4933	1915	1343	2942	1586	1590
GranTurismo	4933	1915	1343	2942	1586	1590
GranTurismo	4881	1847	1353	2942	1586	1590
GTC4Lusso	4922	1980	1383	2990	1674	1668
GTC4Lusso	4922	1980	1383	2990	1674	1668
H-1辉翼	5125	1920	1925	3200	1685	1660
H-1辉翼	5125	1920	1925	3200	1685	1660
H-1辉翼	5125	1920	1925	3200	1685	1660
HIACE	4840	1880	2105	2570	1655	1650
HIACE	5380	1880	2285	3110	1655	1650
HIACE	5380	1880	2285	3110	1655	1650
Huayra	4605	2036	1169	-	-	-
Huracan	4459	1924	1165	2620	1668	1620
Huracan	4459	1924	1180	2620	1668	1620
Huracan	4506	1924	1165	2620	1668	1620
Huracan	4459	1924	1165	2620	1668	1620
KX CROSS	4240	1750	1505	2600	-	-
KX CROSS	4240	1750	1505	2600	-	-
LaFerrari	4702	1992	1116	2650	-	-
LANNIA 蓝鸟	4683	1780	1465	2700	1540	1540
LANNIA 蓝鸟	4683	1780	1465	2700	1540	1540
LANNIA 蓝鸟	4683	1780	1465	2700	1540	1540
LANNIA 蓝鸟	4683	1780	1465	2700	1540	1540
LANNIA 蓝鸟	4683	1780	1465	2700	1540	1540
LANNIA 蓝鸟	4683	1780	1465	2700	1540	1540
Levante	5003	1968	1679	3004	1624	1676
Levante	5003	1968	1679	3004	1624	1676
Levante	5003	1968	1679	3004	1624	1676
LITE	2986	1676	1492	1870	-	-
LITE	2986	1676	1492	1870	-	-
Macan	4681	1923	1624	2807	-	-
Macan	4681	1923	1624	2807	-	-
Macan	4692	1926	1609	2807	-	-
Macan	4699	1923	1624	2807	-	-
MASTER CEO	4845	1876	1768	2910	1605	1605
MASTER CEO	4845	1876	1768	2910	1605	1605
MINI CLUBMAN	4263	1800	1479	2670	1560	1561
MINI CLUBMAN	4263	1800	1479	2670	1560	1561
MINI CLUBMAN	4263	1800	1479	2670	1560	1561
MINI CLUBMAN	4263	1800	1479	2670	1560	1561
MINI CLUBMAN	4263	1800	1482	2670	1554	1555
MINI CLUBMAN	4263	1800	1482	2670	1554	1555
MINI CLUBMAN	4263	1800	1482	2670	1554	1555
MINI CLUBMAN	4263	1800	1482	2670	1554	1555
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUNTRYMAN	4310	1822	1616	2670	-	-
MINI COUPE	3728	1683	1388	2467	1459	1467
MINI COUPE	3734	1683	1394	2467	1453	1461
